,node,port,wire
0,sky130_fd_sc_hd__buf_2 U0,"['A', 'X']","['mem_la_wdata[7]', 'pcpi_rs2[7]']"
1,sky130_fd_sc_hd__buf_2 U1,"['A', 'X']","['mem_la_wdata[6]', 'pcpi_rs2[6]']"
2,sky130_fd_sc_hd__buf_1 U10,"['A', 'X']","['mem_do_rinst', 'n2132']"
3,sky130_fd_sc_hd__buf_1 U100,"['A', 'X']","['n2213', 'n2214']"
4,sky130_fd_sc_hd__xnor2_2 U1000,"['A', 'B', 'Y']","['n3009', 'n3069', 'n3070']"
5,sky130_fd_sc_hd__nor2_2 U1001,"['A', 'B', 'Y']","['n3062', 'n3070', 'n3071']"
6,sky130_fd_sc_hd__a211o_2 U1002,"['A1', 'A2', 'B1', 'C1', 'X']","['n3009', 'n3058', 'n3060', 'n3071', '\\alu_out[3]']"
7,sky130_fd_sc_hd__buf_1 U1003,"['A', 'X']","['instr_sub', 'n3072']"
8,sky130_fd_sc_hd__buf_1 U1004,"['A', 'X']","['n3072', 'n3073']"
9,sky130_fd_sc_hd__o21ai_2 U1005,"['A1', 'A2', 'B1', 'Y']","['n3059', 'n3067', 'n2918', 'n3074']"
10,sky130_fd_sc_hd__nand2_2 U1006,"['A', 'B', 'Y']","['n3064', 'n2933', 'n3075']"
11,sky130_fd_sc_hd__o21a_2 U1007,"['A1', 'A2', 'B1', 'X']","['n3073', 'n3074', 'n3075', 'n3076']"
12,sky130_fd_sc_hd__xnor2_2 U1008,"['A', 'B', 'Y']","['n2944', 'n3076', 'n3077']"
13,sky130_fd_sc_hd__buf_1 U1009,"['A', 'X']","['n3048', 'n3078']"
14,sky130_fd_sc_hd__nand2_2 U101,"['A', 'B', 'Y']","['n2212', 'n2214', 'n2215']"
15,sky130_fd_sc_hd__buf_1 U1010,"['A', 'X']","['mem_la_wdata[4]', 'n3079']"
16,sky130_fd_sc_hd__buf_1 U1011,"['A', 'X']","['n3049', 'n3080']"
17,sky130_fd_sc_hd__a31o_2 U1012,"['A1', 'A2', 'A3', 'B1', 'X']","['n2368', 'n3079', 'n3080', 'n3027', 'n3081']"
18,sky130_fd_sc_hd__a221o_2 U1013,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2944', 'n3078', 'n3081', 'n2943', 'n3030', 'n3082']"
19,sky130_fd_sc_hd__o21a_2 U1014,"['A1', 'A2', 'B1', 'X']","['n3062', 'n3077', 'n3082', '\\alu_out[4]']"
20,sky130_fd_sc_hd__and3_2 U1015,"['A', 'B', 'C', 'X']","['n2388', 'n2949', 'n3049', 'n3083']"
21,sky130_fd_sc_hd__a221o_2 U1016,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2941', 'n3048', 'n3041', 'n2939', 'n3083', 'n3084']"
22,sky130_fd_sc_hd__nor2_2 U1017,"['A', 'B', 'Y']","['n2933', 'n2944', 'n3085']"
23,sky130_fd_sc_hd__inv_2 U1018,"['A', 'Y']","['n3079', 'n3086']"
24,sky130_fd_sc_hd__a21o_2 U1019,"['A1', 'A2', 'B1', 'X']","['n2367', 'n3086', 'n3032', 'n3087']"
25,sky130_fd_sc_hd__buf_1 U102,"['A', 'X']","['\\cpu_state[3]', 'n2216']"
26,sky130_fd_sc_hd__a21bo_2 U1020,"['A1', 'A2', 'B1_N', 'X']","['n2942', 'n3074', 'n2943', 'n3088']"
27,sky130_fd_sc_hd__o22a_2 U1021,"['A1', 'A2', 'B1', 'B2', 'X']","['n3085', 'n3087', 'n3088', 'n3065', 'n3089']"
28,sky130_fd_sc_hd__xnor2_2 U1022,"['A', 'B', 'Y']","['n2941', 'n3089', 'n3090']"
29,sky130_fd_sc_hd__mux2_2 U1023,"['A0', 'A1', 'S', 'X']","['n3084', 'n3090', 'n3030', 'n3091']"
30,sky130_fd_sc_hd__buf_1 U1024,"['A', 'X']","['n3091', '\\alu_out[5]']"
31,sky130_fd_sc_hd__and2b_2 U1025,"['A_N', 'B', 'X']","['n2941', 'n3085', 'n3092']"
32,sky130_fd_sc_hd__or2_2 U1026,"['A', 'B', 'X']","['n3092', 'n2951', 'n3093']"
33,sky130_fd_sc_hd__nor2_2 U1027,"['A', 'B', 'Y']","['n2387', 'mem_la_wdata[5]', 'n3094']"
34,sky130_fd_sc_hd__o21a_2 U1028,"['A1', 'A2', 'B1', 'X']","['n3094', 'n3088', 'n2940', 'n3095']"
35,sky130_fd_sc_hd__mux2_2 U1029,"['A0', 'A1', 'S', 'X']","['n3093', 'n3095', 'n3034', 'n3096']"
36,sky130_fd_sc_hd__nand2_2 U103,"['A', 'B', 'Y']","['is_beq_bne_blt_bge_bltu_bgeu', 'n2137', 'n2217']"
37,sky130_fd_sc_hd__xnor2_2 U1030,"['A', 'B', 'Y']","['n2938', 'n3096', 'n3097']"
38,sky130_fd_sc_hd__a31o_2 U1031,"['A1', 'A2', 'A3', 'B1', 'X']","['n2407', 'n2952', 'n3080', 'n3027', 'n3098']"
39,sky130_fd_sc_hd__a221o_2 U1032,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2938', 'n3078', 'n3098', 'n2937', 'n3030', 'n3099']"
40,sky130_fd_sc_hd__o21a_2 U1033,"['A1', 'A2', 'B1', 'X']","['n3062', 'n3097', 'n3099', '\\alu_out[6]']"
41,sky130_fd_sc_hd__a21o_2 U1034,"['A1', 'A2', 'B1', 'X']","['n2934', 'n3058', 'n3028', 'n3100']"
42,sky130_fd_sc_hd__nand2_2 U1035,"['A', 'B', 'Y']","['n2947', 'n3093', 'n3101']"
43,sky130_fd_sc_hd__nor2_2 U1036,"['A', 'B', 'Y']","['n3052', 'n2953', 'n3102']"
44,sky130_fd_sc_hd__inv_2 U1037,"['A', 'Y']","['n2937', 'n3103']"
45,sky130_fd_sc_hd__o21a_2 U1038,"['A1', 'A2', 'B1', 'X']","['n3103', 'n3095', 'n2936', 'n3104']"
46,sky130_fd_sc_hd__o2bb2a_2 U1039,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n3101', 'n3102', 'n3065', 'n3104', 'n3105']"
47,sky130_fd_sc_hd__or3_2 U104,"['A', 'B', 'C', 'X']","['\\reg_sh[3]', '\\reg_sh[2]', '\\reg_sh[4]', 'n2218']"
48,sky130_fd_sc_hd__xnor2_2 U1040,"['A', 'B', 'Y']","['n2946', 'n3105', 'n3106']"
49,sky130_fd_sc_hd__nor2_2 U1041,"['A', 'B', 'Y']","['n3062', 'n3106', 'n3107']"
50,sky130_fd_sc_hd__buf_1 U1042,"['A', 'X']","['n3080', 'n3108']"
51,sky130_fd_sc_hd__and3_2 U1043,"['A', 'B', 'C', 'X']","['n2424', 'n2915', 'n3108', 'n3109']"
52,sky130_fd_sc_hd__a211o_2 U1044,"['A1', 'A2', 'B1', 'C1', 'X']","['n2935', 'n3100', 'n3107', 'n3109', '\\alu_out[7]']"
53,sky130_fd_sc_hd__buf_1 U1045,"['A', 'X']","['n3041', 'n3110']"
54,sky130_fd_sc_hd__buf_1 U1046,"['A', 'X']","['n3021', 'n3111']"
55,sky130_fd_sc_hd__mux2_2 U1047,"['A0', 'A1', 'S', 'X']","['n3047', 'n3111', 'n2910', 'n3112']"
56,sky130_fd_sc_hd__o21ba_2 U1048,"['A1', 'A2', 'B1_N', 'X']","['n3110', 'n3112', 'n2909', 'n3113']"
57,sky130_fd_sc_hd__nor2_2 U1049,"['A', 'B', 'Y']","['n2423', 'mem_la_wdata[7]', 'n3114']"
58,sky130_fd_sc_hd__or2_2 U105,"['A', 'B', 'X']","['\\reg_sh[0]', 'n2218', 'n2219']"
59,sky130_fd_sc_hd__o21a_2 U1050,"['A1', 'A2', 'B1', 'X']","['n3114', 'n3104', 'n2934', 'n3115']"
60,sky130_fd_sc_hd__mux2_2 U1051,"['A0', 'A1', 'S', 'X']","['n2956', 'n3115', 'n3052', 'n3116']"
61,sky130_fd_sc_hd__xor2_2 U1052,"['A', 'B', 'X']","['n2911', 'n3116', 'n3117']"
62,sky130_fd_sc_hd__buf_1 U1053,"['A', 'X']","['n3023', 'n3118']"
63,sky130_fd_sc_hd__mux2_2 U1054,"['A0', 'A1', 'S', 'X']","['n3113', 'n3117', 'n3118', 'n3119']"
64,sky130_fd_sc_hd__buf_1 U1055,"['A', 'X']","['n3119', '\\alu_out[8]']"
65,sky130_fd_sc_hd__nand2_2 U1056,"['A', 'B', 'Y']","['n2461', 'n2891', 'n3120']"
66,sky130_fd_sc_hd__a21oi_2 U1057,"['A1', 'A2', 'B1', 'Y']","['n3120', 'n3040', 'n3042', 'n3121']"
67,sky130_fd_sc_hd__nor2_2 U1058,"['A', 'B', 'Y']","['n2892', 'n3121', 'n3122']"
68,sky130_fd_sc_hd__nand2_2 U1059,"['A', 'B', 'Y']","['n2437', 'n2889', 'n3123']"
69,sky130_fd_sc_hd__nor2_2 U106,"['A', 'B', 'Y']","['\\reg_sh[1]', 'n2219', 'n2220']"
70,sky130_fd_sc_hd__o21a_2 U1060,"['A1', 'A2', 'B1', 'X']","['n2909', 'n3115', 'n3123', 'n3124']"
71,sky130_fd_sc_hd__and2_2 U1061,"['A', 'B', 'X']","['n2911', 'n2956', 'n3125']"
72,sky130_fd_sc_hd__a21o_2 U1062,"['A1', 'A2', 'B1', 'X']","['n2437', 'n2890', 'n3125', 'n3126']"
73,sky130_fd_sc_hd__mux2_2 U1063,"['A0', 'A1', 'S', 'X']","['n3124', 'n3126', 'n3065', 'n3127']"
74,sky130_fd_sc_hd__xnor2_2 U1064,"['A', 'B', 'Y']","['n2894', 'n3127', 'n3128']"
75,sky130_fd_sc_hd__nor2_2 U1065,"['A', 'B', 'Y']","['n3062', 'n3128', 'n3129']"
76,sky130_fd_sc_hd__a211o_2 U1066,"['A1', 'A2', 'B1', 'C1', 'X']","['n2893', 'n3108', 'n3122', 'n3129', '\\alu_out[9]']"
77,sky130_fd_sc_hd__mux2_2 U1067,"['A0', 'A1', 'S', 'X']","['n3111', 'n3025', 'n2887', 'n3130']"
78,sky130_fd_sc_hd__o21a_2 U1068,"['A1', 'A2', 'B1', 'X']","['n3110', 'n3130', 'n2886', 'n3131']"
79,sky130_fd_sc_hd__a21o_2 U1069,"['A1', 'A2', 'B1', 'X']","['n2894', 'n3126', 'n2895', 'n3132']"
80,sky130_fd_sc_hd__buf_1 U107,"['A', 'X']","['\\cpu_state[4]', 'n2221']"
81,sky130_fd_sc_hd__a21o_2 U1070,"['A1', 'A2', 'B1', 'X']","['n3120', 'n3124', 'n2892', 'n3133']"
82,sky130_fd_sc_hd__mux2_2 U1071,"['A0', 'A1', 'S', 'X']","['n3132', 'n3133', 'n3033', 'n3134']"
83,sky130_fd_sc_hd__xor2_2 U1072,"['A', 'B', 'X']","['n2888', 'n3134', 'n3135']"
84,sky130_fd_sc_hd__mux2_2 U1073,"['A0', 'A1', 'S', 'X']","['n3131', 'n3135', 'n3118', 'n3136']"
85,sky130_fd_sc_hd__buf_1 U1074,"['A', 'X']","['n3136', '\\alu_out[10]']"
86,sky130_fd_sc_hd__a21o_2 U1075,"['A1', 'A2', 'B1', 'X']","['n2883', 'n3058', 'n3028', 'n3137']"
87,sky130_fd_sc_hd__buf_1 U1076,"['A', 'X']","['n3061', 'n3138']"
88,sky130_fd_sc_hd__a21oi_2 U1077,"['A1', 'A2', 'B1', 'Y']","['n2888', 'n3132', 'n2897', 'n3139']"
89,sky130_fd_sc_hd__a21boi_2 U1078,"['A1', 'A2', 'B1_N', 'Y']","['n2887', 'n3133', 'n2886', 'n3140']"
90,sky130_fd_sc_hd__mux2_2 U1079,"['A0', 'A1', 'S', 'X']","['n3139', 'n3140', 'n3052', 'n3141']"
91,sky130_fd_sc_hd__buf_1 U108,"['A', 'X']","['n2221', 'n2222']"
92,sky130_fd_sc_hd__xnor2_2 U1080,"['A', 'B', 'Y']","['n2908', 'n3141', 'n3142']"
93,sky130_fd_sc_hd__nor2_2 U1081,"['A', 'B', 'Y']","['n3138', 'n3142', 'n3143']"
94,sky130_fd_sc_hd__and3_2 U1082,"['A', 'B', 'C', 'X']","['n2498', 'n2882', 'n3108', 'n3144']"
95,sky130_fd_sc_hd__a211o_2 U1083,"['A1', 'A2', 'B1', 'C1', 'X']","['n2884', 'n3137', 'n3143', 'n3144', '\\alu_out[11]']"
96,sky130_fd_sc_hd__mux2_2 U1084,"['A0', 'A1', 'S', 'X']","['n3047', 'n3111', 'n2902', 'n3145']"
97,sky130_fd_sc_hd__o21ba_2 U1085,"['A1', 'A2', 'B1_N', 'X']","['n3110', 'n3145', 'n2901', 'n3146']"
98,sky130_fd_sc_hd__or4_2 U1086,"['A', 'B', 'C', 'D', 'X']","['n2885', 'n2888', 'n2894', 'n2911', 'n3147']"
99,sky130_fd_sc_hd__o211ai_2 U1087,"['A1', 'A2', 'B1', 'C1', 'Y']","['n2892', 'n3123', 'n3120', 'n2887', 'n3148']"
100,sky130_fd_sc_hd__nand3_2 U1088,"['A', 'B', 'C', 'Y']","['n2884', 'n2886', 'n3148', 'n3149']"
101,sky130_fd_sc_hd__o211a_2 U1089,"['A1', 'A2', 'B1', 'C1', 'X']","['n3115', 'n3147', 'n3149', 'n2883', 'n3150']"
102,sky130_fd_sc_hd__a22o_2 U109,"['A1', 'A2', 'B1', 'B2', 'X']","['n2170', 'n2181', 'n2220', 'n2222', 'n2223']"
103,sky130_fd_sc_hd__o21bai_2 U1090,"['A1', 'A2', 'B1_N', 'Y']","['n2908', 'n3139', 'n2899', 'n3151']"
104,sky130_fd_sc_hd__mux2_2 U1091,"['A0', 'A1', 'S', 'X']","['n3150', 'n3151', 'n3063', 'n3152']"
105,sky130_fd_sc_hd__xor2_2 U1092,"['A', 'B', 'X']","['n2903', 'n3152', 'n3153']"
106,sky130_fd_sc_hd__mux2_2 U1093,"['A0', 'A1', 'S', 'X']","['n3146', 'n3153', 'n3118', 'n3154']"
107,sky130_fd_sc_hd__buf_1 U1094,"['A', 'X']","['n3154', '\\alu_out[12]']"
108,sky130_fd_sc_hd__a21o_2 U1095,"['A1', 'A2', 'B1', 'X']","['n2876', 'n3058', 'n3028', 'n3155']"
109,sky130_fd_sc_hd__o21ba_2 U1096,"['A1', 'A2', 'B1_N', 'X']","['n2901', 'n3150', 'n2902', 'n3156']"
110,sky130_fd_sc_hd__a21o_2 U1097,"['A1', 'A2', 'B1', 'X']","['n2903', 'n3151', 'n2878', 'n3157']"
111,sky130_fd_sc_hd__mux2_2 U1098,"['A0', 'A1', 'S', 'X']","['n3156', 'n3157', 'n3072', 'n3158']"
112,sky130_fd_sc_hd__xnor2_2 U1099,"['A', 'B', 'Y']","['n2877', 'n3158', 'n3159']"
113,sky130_fd_sc_hd__and3_2 U11,"['A', 'B', 'C', 'X']","['n2132', '\\mem_state[1]', '\\mem_state[0]', 'n2133']"
114,sky130_fd_sc_hd__a21o_2 U110,"['A1', 'A2', 'B1', 'X']","['n2216', 'n2217', 'n2223', 'n2224']"
115,sky130_fd_sc_hd__nor2_2 U1100,"['A', 'B', 'Y']","['n3138', 'n3159', 'n3160']"
116,sky130_fd_sc_hd__and3_2 U1101,"['A', 'B', 'C', 'X']","['n2531', 'n2875', 'n3108', 'n3161']"
117,sky130_fd_sc_hd__a211o_2 U1102,"['A1', 'A2', 'B1', 'C1', 'X']","['n2874', 'n3155', 'n3160', 'n3161', '\\alu_out[13]']"
118,sky130_fd_sc_hd__and2_2 U1103,"['A', 'B', 'X']","['n2870', 'n2871', 'n3162']"
119,sky130_fd_sc_hd__a21o_2 U1104,"['A1', 'A2', 'B1', 'X']","['n2877', 'n3157', 'n2879', 'n3163']"
120,sky130_fd_sc_hd__a21bo_2 U1105,"['A1', 'A2', 'B1_N', 'X']","['n2876', 'n3156', 'n2874', 'n3164']"
121,sky130_fd_sc_hd__mux2_2 U1106,"['A0', 'A1', 'S', 'X']","['n3163', 'n3164', 'n3034', 'n3165']"
122,sky130_fd_sc_hd__xnor2_2 U1107,"['A', 'B', 'Y']","['n3162', 'n3165', 'n3166']"
123,sky130_fd_sc_hd__a31o_2 U1108,"['A1', 'A2', 'A3', 'B1', 'X']","['n2544', 'n2869', 'n3080', 'n3027', 'n3167']"
124,sky130_fd_sc_hd__a221o_2 U1109,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3162', 'n3040', 'n3167', 'n2871', 'n3030', 'n3168']"
125,sky130_fd_sc_hd__buf_1 U111,"['A', 'X']","['n2139', 'n2225']"
126,sky130_fd_sc_hd__o21a_2 U1110,"['A1', 'A2', 'B1', 'X']","['n3062', 'n3166', 'n3168', '\\alu_out[14]']"
127,sky130_fd_sc_hd__a21o_2 U1111,"['A1', 'A2', 'B1', 'X']","['n2866', 'n3058', 'n3028', 'n3169']"
128,sky130_fd_sc_hd__a21oi_2 U1112,"['A1', 'A2', 'B1', 'Y']","['n2870', 'n3164', 'n3063', 'n3170']"
129,sky130_fd_sc_hd__a21oi_2 U1113,"['A1', 'A2', 'B1', 'Y']","['n2872', 'n3163', 'n2905', 'n3171']"
130,sky130_fd_sc_hd__a22o_2 U1114,"['A1', 'A2', 'B1', 'B2', 'X']","['n2871', 'n3170', 'n3171', 'n3064', 'n3172']"
131,sky130_fd_sc_hd__xor2_2 U1115,"['A', 'B', 'X']","['n2868', 'n3172', 'n3173']"
132,sky130_fd_sc_hd__nor2_2 U1116,"['A', 'B', 'Y']","['n3138', 'n3173', 'n3174']"
133,sky130_fd_sc_hd__and3_2 U1117,"['A', 'B', 'C', 'X']","['n2567', 'n2865', 'n3108', 'n3175']"
134,sky130_fd_sc_hd__a211o_2 U1118,"['A1', 'A2', 'B1', 'C1', 'X']","['n2867', 'n3169', 'n3174', 'n3175', '\\alu_out[15]']"
135,sky130_fd_sc_hd__buf_1 U1119,"['A', 'X']","['n3027', 'n3176']"
136,sky130_fd_sc_hd__nor2_2 U112,"['A', 'B', 'Y']","['\\cpu_state[6]', '\\cpu_state[5]', 'n2226']"
137,sky130_fd_sc_hd__mux2_2 U1120,"['A0', 'A1', 'S', 'X']","['n3048', 'n3024', 'n2971', 'n3177']"
138,sky130_fd_sc_hd__or2_2 U1121,"['A', 'B', 'X']","['n2586', 'pcpi_rs2[16]', 'n3178']"
139,sky130_fd_sc_hd__o21a_2 U1122,"['A1', 'A2', 'B1', 'X']","['n3176', 'n3177', 'n3178', 'n3179']"
140,sky130_fd_sc_hd__or4_2 U1123,"['A', 'B', 'C', 'D', 'X']","['n2868', 'n2872', 'n2877', 'n2903', 'n3180']"
141,sky130_fd_sc_hd__nand2_2 U1124,"['A', 'B', 'Y']","['n2874', 'n2902', 'n3181']"
142,sky130_fd_sc_hd__nand2_2 U1125,"['A', 'B', 'Y']","['n2867', 'n2871', 'n3182']"
143,sky130_fd_sc_hd__a31o_2 U1126,"['A1', 'A2', 'A3', 'B1', 'X']","['n2870', 'n2876', 'n3181', 'n3182', 'n3183']"
144,sky130_fd_sc_hd__o211ai_2 U1127,"['A1', 'A2', 'B1', 'C1', 'Y']","['n3150', 'n3180', 'n3183', 'n2866', 'n3184']"
145,sky130_fd_sc_hd__mux2_2 U1128,"['A0', 'A1', 'S', 'X']","['n2958', 'n3184', 'n3034', 'n3185']"
146,sky130_fd_sc_hd__nor2_2 U1129,"['A', 'B', 'Y']","['n2972', 'n3185', 'n3186']"
147,sky130_fd_sc_hd__buf_1 U113,"['A', 'X']","['n2226', 'n2227']"
148,sky130_fd_sc_hd__buf_1 U1130,"['A', 'X']","['n3061', 'n3187']"
149,sky130_fd_sc_hd__a21o_2 U1131,"['A1', 'A2', 'B1', 'X']","['n2972', 'n3185', 'n3187', 'n3188']"
150,sky130_fd_sc_hd__o22a_2 U1132,"['A1', 'A2', 'B1', 'B2', 'X']","['n3031', 'n3179', 'n3186', 'n3188', '\\alu_out[16]']"
151,sky130_fd_sc_hd__nand2_2 U1133,"['A', 'B', 'Y']","['n2603', 'pcpi_rs2[17]', 'n3189']"
152,sky130_fd_sc_hd__a21oi_2 U1134,"['A1', 'A2', 'B1', 'Y']","['n3189', 'n3025', 'n3041', 'n3190']"
153,sky130_fd_sc_hd__a2bb2o_2 U1135,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n2959', 'n3190', 'n3080', 'n2960', 'n3191']"
154,sky130_fd_sc_hd__nor2_2 U1136,"['A', 'B', 'Y']","['n2968', 'n2971', 'n3192']"
155,sky130_fd_sc_hd__a2bb2o_2 U1137,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n2958', 'n3192', 'n2586', 'n2970', 'n3193']"
156,sky130_fd_sc_hd__a21oi_2 U1138,"['A1', 'A2', 'B1', 'Y']","['n3178', 'n3184', 'n2971', 'n3194']"
157,sky130_fd_sc_hd__mux2_2 U1139,"['A0', 'A1', 'S', 'X']","['n3193', 'n3194', 'n3033', 'n3195']"
158,sky130_fd_sc_hd__or2_2 U114,"['A', 'B', 'X']","['mem_do_prefetch', 'n2137', 'n2228']"
159,sky130_fd_sc_hd__xor2_2 U1140,"['A', 'B', 'X']","['n2961', 'n3195', 'n3196']"
160,sky130_fd_sc_hd__mux2_2 U1141,"['A0', 'A1', 'S', 'X']","['n3191', 'n3196', 'n3118', 'n3197']"
161,sky130_fd_sc_hd__buf_1 U1142,"['A', 'X']","['n3197', '\\alu_out[17]']"
162,sky130_fd_sc_hd__mux2_2 U1143,"['A0', 'A1', 'S', 'X']","['n3024', 'n3025', 'n2966', 'n3198']"
163,sky130_fd_sc_hd__o21ba_2 U1144,"['A1', 'A2', 'B1_N', 'X']","['n3042', 'n3198', 'n2965', 'n3199']"
164,sky130_fd_sc_hd__a21oi_2 U1145,"['A1', 'A2', 'B1', 'Y']","['n3189', 'n3194', 'n2959', 'n3200']"
165,sky130_fd_sc_hd__a21o_2 U1146,"['A1', 'A2', 'B1', 'X']","['n2961', 'n3193', 'n2974', 'n3201']"
166,sky130_fd_sc_hd__nand2_2 U1147,"['A', 'B', 'Y']","['n3064', 'n3201', 'n3202']"
167,sky130_fd_sc_hd__o21a_2 U1148,"['A1', 'A2', 'B1', 'X']","['n3073', 'n3200', 'n3202', 'n3203']"
168,sky130_fd_sc_hd__nor2_2 U1149,"['A', 'B', 'Y']","['n2967', 'n3203', 'n3204']"
169,sky130_fd_sc_hd__nor3_2 U115,"['A', 'B', 'C', 'Y']","['n2225', 'n2227', 'n2228', 'n745']"
170,sky130_fd_sc_hd__a21o_2 U1150,"['A1', 'A2', 'B1', 'X']","['n2967', 'n3203', 'n3187', 'n3205']"
171,sky130_fd_sc_hd__o22a_2 U1151,"['A1', 'A2', 'B1', 'B2', 'X']","['n3031', 'n3199', 'n3204', 'n3205', '\\alu_out[18]']"
172,sky130_fd_sc_hd__a21o_2 U1152,"['A1', 'A2', 'B1', 'X']","['n2962', 'n3058', 'n3028', 'n3206']"
173,sky130_fd_sc_hd__and2b_2 U1153,"['A_N', 'B', 'X']","['n3200', 'n2966', 'n3207']"
174,sky130_fd_sc_hd__a211o_2 U1154,"['A1', 'A2', 'B1', 'C1', 'X']","['n2967', 'n3201', 'n2976', 'n3032', 'n3208']"
175,sky130_fd_sc_hd__o31a_2 U1155,"['A1', 'A2', 'A3', 'B1', 'X']","['n3065', 'n2965', 'n3207', 'n3208', 'n3209']"
176,sky130_fd_sc_hd__xnor2_2 U1156,"['A', 'B', 'Y']","['n2964', 'n3209', 'n3210']"
177,sky130_fd_sc_hd__nor2_2 U1157,"['A', 'B', 'Y']","['n3138', 'n3210', 'n3211']"
178,sky130_fd_sc_hd__and3_2 U1158,"['A', 'B', 'C', 'X']","['n2634', 'pcpi_rs2[19]', 'n3108', 'n3212']"
179,sky130_fd_sc_hd__a211o_2 U1159,"['A1', 'A2', 'B1', 'C1', 'X']","['n2963', 'n3206', 'n3211', 'n3212', '\\alu_out[19]']"
180,sky130_fd_sc_hd__a211o_2 U116,"['A1', 'A2', 'B1', 'C1', 'X']","['n2210', 'n2215', 'n2224', 'n745', 'n2229']"
181,sky130_fd_sc_hd__mux2_2 U1160,"['A0', 'A1', 'S', 'X']","['n3047', 'n3049', 'n2863', 'n3213']"
182,sky130_fd_sc_hd__o21ba_2 U1161,"['A1', 'A2', 'B1_N', 'X']","['n3110', 'n3213', 'n2862', 'n3214']"
183,sky130_fd_sc_hd__o31a_2 U1162,"['A1', 'A2', 'A3', 'B1', 'X']","['n2969', 'n2970', 'n2959', 'n3189', 'n3215']"
184,sky130_fd_sc_hd__a21bo_2 U1163,"['A1', 'A2', 'B1_N', 'X']","['n2966', 'n3215', 'n2963', 'n3216']"
185,sky130_fd_sc_hd__or3_2 U1164,"['A', 'B', 'C', 'X']","['n2961', 'n2964', 'n2972', 'n3217']"
186,sky130_fd_sc_hd__or3b_2 U1165,"['A', 'B', 'C_N', 'X']","['n2967', 'n3217', 'n3184', 'n3218']"
187,sky130_fd_sc_hd__o211a_2 U1166,"['A1', 'A2', 'B1', 'C1', 'X']","['n2965', 'n3216', 'n3218', 'n2962', 'n3219']"
188,sky130_fd_sc_hd__mux2_2 U1167,"['A0', 'A1', 'S', 'X']","['n2980', 'n3219', 'n3033', 'n3220']"
189,sky130_fd_sc_hd__xor2_2 U1168,"['A', 'B', 'X']","['n2864', 'n3220', 'n3221']"
190,sky130_fd_sc_hd__mux2_2 U1169,"['A0', 'A1', 'S', 'X']","['n3214', 'n3221', 'n3118', 'n3222']"
191,sky130_fd_sc_hd__buf_1 U117,"['A', 'X']","['n2225', 'n2230']"
192,sky130_fd_sc_hd__buf_1 U1170,"['A', 'X']","['n3222', '\\alu_out[20]']"
193,sky130_fd_sc_hd__a21o_2 U1171,"['A1', 'A2', 'B1', 'X']","['n2983', 'n3078', 'n3176', 'n3223']"
194,sky130_fd_sc_hd__nand2_2 U1172,"['A', 'B', 'Y']","['n2651', 'pcpi_rs2[20]', 'n3224']"
195,sky130_fd_sc_hd__o21a_2 U1173,"['A1', 'A2', 'B1', 'X']","['n2862', 'n3219', 'n3224', 'n3225']"
196,sky130_fd_sc_hd__and2_2 U1174,"['A', 'B', 'X']","['n2864', 'n2980', 'n3226']"
197,sky130_fd_sc_hd__a21o_2 U1175,"['A1', 'A2', 'B1', 'X']","['n2652', 'n2993', 'n3226', 'n3227']"
198,sky130_fd_sc_hd__mux2_2 U1176,"['A0', 'A1', 'S', 'X']","['n3225', 'n3227', 'n3072', 'n3228']"
199,sky130_fd_sc_hd__xnor2_2 U1177,"['A', 'B', 'Y']","['n2984', 'n3228', 'n3229']"
200,sky130_fd_sc_hd__nor2_2 U1178,"['A', 'B', 'Y']","['n3138', 'n3229', 'n3230']"
201,sky130_fd_sc_hd__and3_2 U1179,"['A', 'B', 'C', 'X']","['n2668', 'n2982', 'n3044', 'n3231']"
202,sky130_fd_sc_hd__a21o_2 U118,"['A1', 'A2', 'B1', 'X']","['n2198', 'n2229', 'n2230', 'n18']"
203,sky130_fd_sc_hd__a211o_2 U1180,"['A1', 'A2', 'B1', 'C1', 'X']","['n2981', 'n3223', 'n3230', 'n3231', '\\alu_out[21]']"
204,sky130_fd_sc_hd__mux2_2 U1181,"['A0', 'A1', 'S', 'X']","['n3080', 'n3048', 'n2989', 'n3232']"
205,sky130_fd_sc_hd__o21a_2 U1182,"['A1', 'A2', 'B1', 'X']","['n3176', 'n3232', 'n2990', 'n3233']"
206,sky130_fd_sc_hd__nor2_2 U1183,"['A', 'B', 'Y']","['n2667', 'n2982', 'n3234']"
207,sky130_fd_sc_hd__o21ai_2 U1184,"['A1', 'A2', 'B1', 'Y']","['n3234', 'n3225', 'n2983', 'n3235']"
208,sky130_fd_sc_hd__a21o_2 U1185,"['A1', 'A2', 'B1', 'X']","['n2984', 'n3227', 'n2994', 'n3236']"
209,sky130_fd_sc_hd__nand2_2 U1186,"['A', 'B', 'Y']","['n3064', 'n3236', 'n3237']"
