,node,port,wire
6865,sky130_fd_sc_hd__mux2_2 U7177,"['A0', 'A1', 'S', 'X']","['n7589', '\\cpuregs[5][19]', 'n1807', 'n1809']"
6866,sky130_fd_sc_hd__buf_1 U7178,"['A', 'X']","['n1809', 'n1272']"
6867,sky130_fd_sc_hd__mux2_2 U7179,"['A0', 'A1', 'S', 'X']","['n7591', '\\cpuregs[5][20]', 'n1807', 'n1810']"
6868,sky130_fd_sc_hd__a32o_2 U718,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n2372', 'n2663', 'n2791', 'n2666', 'n2793', 'n2794']"
6869,sky130_fd_sc_hd__buf_1 U7180,"['A', 'X']","['n1810', 'n1273']"
6870,sky130_fd_sc_hd__mux2_2 U7181,"['A0', 'A1', 'S', 'X']","['n7593', '\\cpuregs[5][21]', 'n1807', 'n1811']"
6871,sky130_fd_sc_hd__buf_1 U7182,"['A', 'X']","['n1811', 'n1274']"
6872,sky130_fd_sc_hd__mux2_2 U7183,"['A0', 'A1', 'S', 'X']","['n7595', '\\cpuregs[5][22]', 'n1807', 'n1812']"
6873,sky130_fd_sc_hd__buf_1 U7184,"['A', 'X']","['n1812', 'n1275']"
6874,sky130_fd_sc_hd__mux2_2 U7185,"['A0', 'A1', 'S', 'X']","['n7597', '\\cpuregs[5][23]', 'n1807', 'n1813']"
6875,sky130_fd_sc_hd__buf_1 U7186,"['A', 'X']","['n1813', 'n1276']"
6876,sky130_fd_sc_hd__buf_1 U7187,"['A', 'X']","['n1784', 'n1814']"
6877,sky130_fd_sc_hd__mux2_2 U7188,"['A0', 'A1', 'S', 'X']","['n7599', '\\cpuregs[5][24]', 'n1814', 'n1815']"
6878,sky130_fd_sc_hd__buf_1 U7189,"['A', 'X']","['n1815', 'n1277']"
6879,sky130_fd_sc_hd__a211o_2 U719,"['A1', 'A2', 'B1', 'C1', 'X']","['n2359', 'n2790', 'n2794', 'n2670', 'n2795']"
6880,sky130_fd_sc_hd__mux2_2 U7190,"['A0', 'A1', 'S', 'X']","['n7602', '\\cpuregs[5][25]', 'n1814', 'n1816']"
6881,sky130_fd_sc_hd__buf_1 U7191,"['A', 'X']","['n1816', 'n1278']"
6882,sky130_fd_sc_hd__mux2_2 U7192,"['A0', 'A1', 'S', 'X']","['n7604', '\\cpuregs[5][26]', 'n1814', 'n1817']"
6883,sky130_fd_sc_hd__buf_1 U7193,"['A', 'X']","['n1817', 'n1279']"
6884,sky130_fd_sc_hd__mux2_2 U7194,"['A0', 'A1', 'S', 'X']","['n7606', '\\cpuregs[5][27]', 'n1814', 'n1818']"
6885,sky130_fd_sc_hd__buf_1 U7195,"['A', 'X']","['n1818', 'n1280']"
6886,sky130_fd_sc_hd__mux2_2 U7196,"['A0', 'A1', 'S', 'X']","['n7608', '\\cpuregs[5][28]', 'n1814', 'n1819']"
6887,sky130_fd_sc_hd__buf_1 U7197,"['A', 'X']","['n1819', 'n1281']"
6888,sky130_fd_sc_hd__mux2_2 U7198,"['A0', 'A1', 'S', 'X']","['n7610', '\\cpuregs[5][29]', 'n1814', 'n1820']"
6889,sky130_fd_sc_hd__buf_1 U7199,"['A', 'X']","['n1820', 'n1282']"
6890,sky130_fd_sc_hd__buf_1 U72,"['A', 'X']","['n2189', 'n2190']"
6891,sky130_fd_sc_hd__o21a_2 U720,"['A1', 'A2', 'B1', 'X']","['n2502', 'n2784', 'n2795', 'n7667']"
6892,sky130_fd_sc_hd__mux2_2 U7200,"['A0', 'A1', 'S', 'X']","['n7612', '\\cpuregs[5][30]', 'n1785', 'n1821']"
6893,sky130_fd_sc_hd__buf_1 U7201,"['A', 'X']","['n1821', 'n1283']"
6894,sky130_fd_sc_hd__mux2_2 U7202,"['A0', 'A1', 'S', 'X']","['n7614', '\\cpuregs[5][31]', 'n1785', 'n1822']"
6895,sky130_fd_sc_hd__buf_1 U7203,"['A', 'X']","['n1822', 'n1284']"
